ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
149,Atti degli Apostoli,L'Elezione di Mattia e l'Attesa nel Cenacolo,Atti 1,20:00,"Ecco a voi in 2 minuti: la comunità unita in preghiera perseverante. Tornati a Gerusalemme, gli apostoli salgono nella stanza al piano superiore insieme a Maria madre di Gesù e ai fratelli, assidui e concordi nella preghiera. Pietro propone di scegliere un testimone della risurrezione al posto di Giuda: pregano insieme affidandosi alla guida divina e la sorte designa Mattia, che viene associato agli undici apostoli. L'unità fraterna prepara il terreno alla venuta dello Spirito.",Pronto
150,Atti degli Apostoli,La Guarigione dello Zoppo alla Porta Bella,Atti 3,20:00,"Ecco a voi in 2 minuti: il miracolo che desta meraviglia a Gerusalemme. Pietro e Giovanni salgono al tempio per la preghiera dell'ora nona. Alla porta detta Bella c'è un uomo zoppo fin dalla nascita che chiede l'elemosina. Pietro fissa gli occhi su di lui e dice con autorità: «Non ho né argento né oro, ma quello che ho te lo do: nel nome di Gesù Cristo, il Nazareno, cammina!» Lo afferra per la mano destra e all'istante i piedi si rinvigoriscono: l'uomo balza in piedi, cammina e loda Dio nel tempio.",Pronto
ID,Categoria,Argomento,Normativa_Riferimento,Orario,Colonna_F_Testo_Elaborazione,Stato
151,Atti degli Apostoli,Pietro e Giovanni Davanti al Sinedrio,Atti 4,20:00,"Ecco a voi in 2 minuti: il coraggio della verità davanti ai potenti. Arrestati per aver risanato lo zoppo e proclamato la risurrezione, Pietro e Giovanni affrontano i capi del popolo e gli anziani. Di fronte al divieto categorico di parlare nel nome di Gesù, rispondono con limpida fermezza: «Giudicate voi se sia giusto davanti a Dio obbedire a voi anziché a Dio. Noi non possiamo tacere quello che abbiamo visto e ascoltato!» La voce della coscienza illuminata dalla fede non teme alcuna minaccia terrena.",Pronto
152,Atti degli Apostoli,La Comunione dei Beni nella Prima Comunità,Atti 4,20:00,"Ecco a voi in 2 minuti: l'armonia fraterna dove nessuno è nel bisogno. La moltitudine di coloro che hanno creduto ha un cuore solo e un'anima sola; nessuno considera sua proprietà quello che gli appartiene, ma fra loro tutto è comune. Con grande forza gli apostoli rendono testimonianza e grande grazia riposa su tutti. Chi possiede campi o case li vende deponendo il ricavato ai piedi degli apostoli perché sia distribuito secondo il bisogno di ciascuno. La vera ricchezza fiorisce nella solidarietà condivisa.",Pronto
153,Atti degli Apostoli,L'Ombra di Pietro sui Malati,Atti 5,20:00,"Ecco a voi in 2 minuti: la presenza feconda che reca consolazione. Molti segni e prodigi avvengono tra il popolo per mano degli apostoli, radunati concordi sotto il portico di Salomone. La stima popolare cresce a tal punto che portano i malati nelle piazze, deponendoli su lettucci e stuoie, affinché quando Pietro passa almeno la sua ombra copra qualcuno di loro. Anche dalle città vicine a Gerusalemme accorrono folle recando sofferenti, e tutti trovano ristoro e speranza. La santità diffonde pace ovunque cammini.",Pronto
154,Atti degli Apostoli,L'Angelo Libera gli Apostoli dal Carcere,Atti 5,20:00,"Ecco a voi in 2 minuti: le porte sbarrate che si aprono nella notte. Pieni di invidia, il sommo sacerdote e i suoi seguaci fanno arrestare gli apostoli rinchiudendoli nella prigione pubblica. Ma durante la notte un angelo del Signore apre le porte del carcere, li conduce fuori e dice loro: «Andate e continuate a proclamare al popolo nel tempio tutte queste parole di vita!» All'alba entrano nel tempio e riprendono a insegnare con zelo. Nessuna catena umana può imprigionare la forza della Parola divina.",Pronto
155,Atti degli Apostoli,Il Saggio Consiglio del Maestro Gamaliele,Atti 5,20:00,"Ecco a voi in 2 minuti: la saggezza prudente che disarma l'odio. Condotti di nuovo davanti al sinedrio inferocito, gli apostoli rischiano la condanna a morte. Ma si alza un illustre maestro della Legge, Gamaliele, che ordina di farli uscire e ammonisce i giudici: «Non occupatevi di questi uomini e lasciateli stare! Se infatti questo disegno viene dagli uomini, sarà distrutto; ma se viene da Dio, non potrete distruggerlo e vi troverete a combattere contro Dio stesso.» La verità si riconosce dai frutti duraturi nel tempo.",Pronto
156,Atti degli Apostoli,L'Istituzione dei Sette Diaconi,Atti 6,20:00,"Ecco a voi in 2 minuti: la concordia nell'organizzare la carità operosa. Aumentando il numero dei discepoli, sorge una lamentela per la trascuratezza delle vedove nella distribuzione quotidiana. I dodici apostoli radunano la comunità: «Scegliete fra voi sette uomini di buona reputazione, pieni di Spirito e di sapienza, ai quali affideremo questo incarico, mentre noi ci dedicheremo alla preghiera e alla Parola.» Eleggono Stefano e altri sei compagni, imponendo loro le mani. Il servizio concreto nobilita la comunità.",Pronto
157,Atti degli Apostoli,La Sapienza Luminosa di Stefano,Atti 6,20:00,"Ecco a voi in 2 minuti: il volto radioso del testimone fedele. Stefano, pieno di grazia e di potenza, compie grandi prodigi tra il popolo. Alcuni membri della sinagoga si mettono a disputare con lui, ma non riescono a resistere alla sapienza e allo Spirito con cui parla. Subornano falsi testimoni per accusarlo davanti al sinedrio. Tutti quelli che siedono nell'assemblea fissano gli occhi su di lui e vedono il suo volto splendere come quello di un angelo celeste. La purezza di cuore dona una luce che non si spegne.",Pronto
158,Atti degli Apostoli,Il Martirio di Stefano e la Visione Celeste,Atti 7,20:00,"Ecco a voi in 2 minuti: il perdono estremo sul monte della prova. Dopo aver ripercorso con coraggio la storia sacra davanti ai giudici, Stefano alza gli occhi al cielo ed esclama: «Ecco, vedo i cieli aperti e il Figlio dell'uomo in piedi alla destra di Dio!» Trascinato fuori dalle mura della città, viene lapidato mentre prega: «Signore Gesù, accogli il mio spirito!» Poi, piegate le ginocchia, grida a gran voce: «Signore, non imputare loro questo peccato!» Detto questo, spira nella pace. Il perdono vince la morte.",Pronto
159,Atti degli Apostoli,Filippo Evangelizza la Samaria,Atti 8,20:00,"Ecco a voi in 2 minuti: la gioia che rinasce tra le contrade della Samaria. Disperso a causa delle persecuzioni a Gerusalemme, il diacono Filippo scende nella città di Samaria annunciando il messaggio di pace. Le folle unanimi prestano attenzione alle sue parole vedendo i segni benefici che compie: molti sofferenti vengono risanati e una grandissima gioia pervade l'intera città. Quando la fede autentica incontra l'apertura del cuore, dissolve ogni antica divisione portando una primavera di riconciliazione.",Pronto
160,Atti degli Apostoli,Filippo e l'Etiope sulla Strada di Gaza,Atti 8,20:00,"Ecco a voi in 2 minuti: l'incontro provvidenziale lungo il sentiero deserto. Un angelo invia Filippo verso la strada che scende da Gerusalemme a Gaza; lì incontra un funzionario etiope che legge sul suo carro il profeta Isaia senza comprenderlo. Filippo sale sul carro e gli spiega come quella profezia annunci la salvezza. Giunti dove c'è acqua, l'etiope esclama con gioia: «Ecco dell'acqua, che cosa impedisce che io sia battezzato?» Ricevuto il battesimo, prosegue il suo cammino colmo di letizia.",Pronto
161,Atti degli Apostoli,Anania Accoglie Saulo a Damasco,Atti 9,20:00,"Ecco a voi in 2 minuti: l'obbedienza all'amore che vince il timore. A Damasco il discepolo Anania riceve in visione l'ordine di recarsi nella via detta Diritta, a cercare Saulo di Tarso che sta pregando. Nonostante la fama di persecutore dell'uomo, Anania si fida del Signore, entra nella casa, gli impone le mani e dice: «Saulo, fratello, il Signore mi ha mandato perché tu riacquisti la vista e sia colmo di Spirito Santo!» All'istante cadono dai suoi occhi come delle squame e si fa battezzare. L'accoglienza fraterna rigenera.",Pronto
162,Atti degli Apostoli,La Fuga di Saulo nelle Mura in una Cesta,Atti 9,20:00,"Ecco a voi in 2 minuti: la salvezza notturna tra le mura antiche. Convertitosi, Saulo comincia subito a predicare con forza nelle sinagoghe di Damasco che Gesù è il Figlio di Dio, lasciando tutti sbigottiti. Gli oppositori tramano per togliergli la vita e sorvegliano le porte giorno e notte. Ma i discepoli lo prendono di notte, lo adagiano dentro una grande cesta di vimini e lo calano cautamente da un'apertura delle possenti mura della città mettendolo in salvo. La prudenza intelligente custodisce i semi del futuro.",Pronto
163,Atti degli Apostoli,La Guarigione del Paralitico Enea a Lidda,Atti 9,20:00,"Ecco a voi in 2 minuti: la salute restituita dopo otto lunghi anni. Pietro visita le comunità di credenti e giunge a Lidda, dove trova un uomo di nome Enea, bloccato a letto da otto anni perché paralitico. Pietro si accosta a lui con voce serena e autorevole: «Enea, Gesù Cristo ti guarisce; alzati e rifatti il letto!» Subito l'uomo balza in piedi perfettamente risanato. Tutti gli abitanti di Lidda e della pianura di Saron vedono il prodigio e si volgono con fiducia al Signore. La speranza ridona movimento alla vita.",Pronto
164,Atti degli Apostoli,La Risurrezione di Tabita a Giaffa,Atti 9,20:00,"Ecco a voi in 2 minuti: la carità operosa ricordata con le lacrime. A Giaffa una discepola di nome Tabita muore dopo una vita ricca di opere buone ed elemosine. Chiamato d'urgenza, Pietro sale nella stanza superiore dove tutte le vedove piangenti gli mostrano le tuniche e i mantelli che Tabita cuciva per loro. Pietro fa uscire tutti, si inginocchia in preghiera e dice: «Tabita, alzati!» Ella apre gli occhi, vede Pietro e si mette a sedere; egli la porge viva ai credenti. Il bene donato in silenzio non perisce mai.",Pronto
165,Atti degli Apostoli,La Visione della Grande Tovaglia a Giaffa,Atti 10,20:00,"Ecco a voi in 2 minuti: l'abbattimento di ogni steccato culturale. Verso mezzogiorno, mentre prega sulla terrazza di una casa in riva al mare a Giaffa, Pietro cade in estasi: vede il cielo aperto e scendere una grande tovaglia legata ai quattro capi contenente ogni specie di creature. Una voce gli ordina: «Àlzati, Pietro, uccidi e mangia!» Di fronte alla sua esitazione per le leggi puritarie, la voce divina replica solennemente: «Ciò che Dio ha purificato, tu non chiamarlo profano!» La misericordia non conosce barriere.",Pronto
166,Atti degli Apostoli,L'Incontro tra Pietro e Cornelio il Centurione,Atti 10,20:00,"Ecco a voi in 2 minuti: la porta aperta a tutti i popoli della terra. A Cesarea, il centurione romano Cornelio, uomo pio e generoso verso i poveri, è avvertito da un angelo di mandare a chiamare Pietro. Quando l'apostolo varca la soglia della casa pagana, Cornelio si prostra, ma Pietro lo solleva dicendo: «Àlzati: anch'io sono un uomo!» Poi proclama: «In verità sto comprendendo che Dio non fa preferenza di persone, ma in qualunque nazione accoglie chiunque lo teme e pratica la giustizia.» L'umanità è un'unica famiglia.",Pronto
167,Atti degli Apostoli,Lo Spirito Santo Scende sui Gentili,Atti 10,20:00,"Ecco a voi in 2 minuti: la Pentecoste che abbraccia le nazioni. Mentre Pietro sta ancora parlando nella casa di Cornelio, lo Spirito Santo scende all'improvviso su tutti coloro che ascoltano la Parola. I credenti circoncisi venuti con Pietro restano stupefatti nel vedere che il dono dello Spirito è effuso anche sui non giudei, che lodano Dio con fervore. Pietro esclama: «Può forse qualcuno negare l'acqua del battesimo a costoro che hanno ricevuto lo Spirito come noi?» La grazia divina precede e supera ogni regola umana.",Pronto
168,Atti degli Apostoli,La Nascita del Nome «Cristiani» ad Antiochia,Atti 11,20:00,"Ecco a voi in 2 minuti: l'inizio radioso di una nuova identità. Alcuni credenti fuggiti dalle persecuzioni giungono ad Antiochia di Siria e cominciano ad annunciare il Signore Gesù anche ai greci, raccogliendo un gran numero di adesioni. La comunità di Gerusalemme vi invia Barnaba, uomo virtuoso e colmo di Spirito, che incoraggia tutti a rimanere fedeli con cuore risoluto; poi va a cercare Saulo e lo conduce con sé. Per un anno intero insegnano a una grande folla: proprio ad Antiochia i discepoli per la prima volta furono chiamati cristiani.",Pronto
169,Atti degli Apostoli,L'Angelo Spezza le Catene di Pietro nel Sonno,Atti 12,20:00,"Ecco a voi in 2 minuti: la liberazione prodigiosa nell'oscurità del carcere. Il re Erode fa arrestare Pietro con l'intenzione di giustiziarlo dopo la Pasqua. Sorvegliato da quattro picchetti di soldati, Pietro dorme legato con due catene tra due guardie. All'improvviso una luce sfolgorante illumina la cella: un angelo del Signore tocca il fianco di Pietro, lo sveglia e le catene gli cadono dalle mani. Seguendo l'angelo, attraversa i posti di guardia e la pesante porta di ferro della città si apre da sola. La preghiera della comunità abbatte ogni prigione.",Pronto
170,Atti degli Apostoli,La Giovane Rode e la Porta Chiusa per Gioia,Atti 12,20:00,"Ecco a voi in 2 minuti: la sorpresa della risposta divina alla preghiera. Libero dal carcere, Pietro si reca alla casa di Maria madre di Giovanni Marco, dove molti sono riuniti a pregare per lui. Bussa alla porta dell'atrio e una giovane serva di nome Rode corre ad ascoltare; riconosciuta la voce di Pietro, per la grande gioia invece di aprire corre dentro ad annunciare: «C'è Pietro davanti alla porta!» Quelli le dicono: «Sei pazza!» Ma egli continua a bussare: quando aprono e lo vedono, restano sbigottiti. Dio risponde prima ancora che l'uomo osi crederci.",Pronto
171,Atti degli Apostoli,La Partenza Missionaria di Paolo e Barnaba,Atti 13,20:00,"Ecco a voi in 2 minuti: la prima grande spedizione verso terre lontane. Nella chiesa di Antiochia, mentre i profeti e i dottori celebrano il culto e digiunano, lo Spirito Santo dice: «Riservate per me Barnaba e Saulo per l'opera alla quale li ho chiamati.» Dopo aver digiunato e pregato ancora, impongono loro le mani e li lasciano partire. Scendono a Seleucia e salpano verso l'isola di Cipro per portare ovunque la luce della salvezza. Il viaggio missionario nasce dall'ascolto docile dello Spirito.",Pronto
172,Atti degli Apostoli,La Guarigione dello Zoppo a Listra,Atti 14,20:00,"Ecco a voi in 2 minuti: i passi della fede e il rifiuto dell'idolatria. A Listra siede un uomo privo dell'uso dei piedi, paralitico fin dal grembo materno, che ascolta Paolo parlare. Paolo fissa gli occhi su di lui e, vedendo che ha fede per essere sanato, grida a gran voce: «Àlzati dritto sui tuoi piedi!» L'uomo fa un salto e comincia a camminare. La folla pagana vuole offrire sacrifici credendoli divinità scese in terra, ma Paolo e Barnaba si strappano le vesti: «Siamo uomini come voi: vi annunciamo di convertirvi al Dio vivente!»",Pronto
173,Atti degli Apostoli,Il Concilio Apostolico di Gerusalemme,Atti 15,20:00,"Ecco a voi in 2 minuti: il dialogo fraterno che custodisce la libertà evangelica. Sorge una disputa accesa sull'obbligo dei riti antichi per i credenti provenienti dalle nazioni pagane. Gli apostoli e gli anziani si radunano a Gerusalemme per esaminare la questione. Dopo lunga discussione, Pietro, Paolo, Barnaba e Giacomo prendono la parola concordando di non imporre fardelli pesanti: «È parso bene allo Spirito Santo e a noi di non imporvi alcun altro peso all'infuori del necessario.» L'unità fiorisce nel rispetto reciproco e nell'amore essenziale.",Pronto
